Date,Open,High,Low,Close
2010/2/1,19987.66992,20780.5,19423.05078,20608.69922
2010/3/1,20853.08008,21450.98047,20575.7793,21239.34961
2010/4/1,21390.89063,22388.76953,20763.33984,21108.58984
2010/5/1,20799.78906,21011.94922,18971.51953,19765.18945
2010/6/1,19600.57031,20957.08984,19211.66992,20128.99023
2010/7/1,20059.56055,21199.55078,19777.83008,21029.81055
2010/8/1,21221.42969,21805.93945,20372.28906,20536.49023
2010/9/1,20570.51953,22439.18945,20529.86914,22358.16992
2010/10/1,22542.35938,23866.86914,22504.05078,23096.32031
2010/11/1,23366.82031,24988.57031,22782.98047,23007.99023
2010/12/1,22973.80078,23612.25,22392.66992,23035.44922
2011/1/1,23135.64063,24434.40039,23057.51953,23447.33984
2011/2/1,23451.61914,23981.74023,22446.66992,23338.01953
2011/3/1,23317.96094,23934.07031,22123.25977,23527.51953
2011/4/1,23664.48047,24468.64063,23468.19922,23720.81055
2011/5/1,23794.85938,23924.48047,22519.66016,23684.13086
2011/6/1,23686.76953,23706,21508.76953,22398.09961
2011/7/1,22813.25,22835.0293,21611.16016,22440.25
2011/8/1,22739.55078,22808.33008,18868.10938,20534.84961
2011/9/1,20790.2207,20975.30078,16999.53906,17592.41016
2011/10/1,17179.19922,20272.38086,16170.34961,19864.86914
2011/11/1,19461.08008,20173.14063,17613.19922,17989.34961
2011/12/1,19033.96094,19242.80078,17821.51953,18434.39063
2012/1/1,18770.64063,20590.80078,18302.83984,20390.49023
2012/2/1,20394.66992,21760.33984,20269.50977,21680.08008
2012/3/1,21578.18945,21641.14063,20374.0293,20555.58008
2012/4/1,20662.9707,21105.57031,20035.67969,21094.21094
2012/5/1,21245.48047,21385.30078,18378.14063,18629.51953
2012/6/1,18498.91016,19578.82031,18056.40039,19441.46094
2012/7/1,19765.41016,19869.10938,18710.58984,19796.81055
2012/8/1,19646.96094,20300.0293,19450.76953,19482.57031
2012/9/1,19414.61914,20895.60938,19076.78906,20840.38086
2012/10/1,20951.38086,21847.69922,20767.35938,21641.82031
2012/11/1,21573.92969,22149.69922,21098.41016,22030.39063
2012/12/1,22070.43945,22718.83008,21687.88086,22656.91992
2013/1/1,22860.25,23916.16016,22860.25,23729.5293
2013/2/1,23763.33984,23944.74023,22445.33984,23020.26953
2013/3/1,22957.08984,23262.01953,21975.90039,22299.63086
2013/4/1,22203.92969,22862.68945,21423.25,22737.00977
2013/5/1,22692.33008,23512.41992,22290.7207,22392.16016
2013/6/1,22301.67969,22564.17969,19426.35938,20803.28906
2013/7/1,21004.56055,22070.14063,20119.56055,21883.66016
2013/8/1,22025.75,22695.99023,21465.7207,21731.36914
